Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",308,Grenada,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,100,100,,100,,
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",320,Guatemala,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,35.65872,,,,,,GTM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",320,Guatemala,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,9.11642,,,,,,GTM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",320,Guatemala,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,44.0131,,,,,,GTM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",320,Guatemala,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,59.32127,,,,,,GTM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",324,Guinea,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,0,,,,,,GIN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",324,Guinea,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,0,,,,,,GIN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",324,Guinea,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,0,,,,,,GIN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",324,Guinea,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,0,,,,,,GIN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",340,Honduras,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,16.14221,,,,,,HND
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",348,Hungary,LOWSEC,G,PERCENT,,,75.06577,82.37037,88.82478,97.38937,100,100,100,100,100,100,100,100,100,100,100,,,,,,HUN
