featurecla,scalerank,SOVEREIGNT,SOV_A3,NAME,NAME_LONG,NAME_EN,latitude,longitude
Admin-0 country,"1",Myanmar,MMR,Myanmar,Myanmar,Myanmar,21.01699987,96.50584094
Admin-0 country,"1",Vietnam,VNM,Vietnam,Vietnam,Vietnam,16.65793775,106.2858408
Admin-0 country,"1",North Korea,PRK,North Korea,Dem. Rep. Korea,North Korea,40.14302034,127.16501591
Admin-0 country,"1",South Korea,KOR,South Korea,Republic of Korea,South Korea,36.4275986,127.82131713
Admin-0 country,"1",Mongolia,MNG,Mongolia,Mongolia,Mongolia,46.82368113,102.94640621
Admin-0 country,"1",India,IND,India,India,India,22.92500641,79.59370376
Admin-0 country,"1",Bangladesh,BGD,Bangladesh,Bangladesh,Bangladesh,23.8394618,90.26792828
Admin-0 country,"1",Bhutan,BTN,Bhutan,Bhutan,Bhutan,27.42796865,90.47242481
Admin-0 country,"1",Nepal,NPL,Nepal,Nepal,Nepal,28.23944002,84.01317368
Admin-0 country,"1",Pakistan,PAK,Pakistan,Pakistan,Pakistan,29.97346003,69.41399806
Admin-0 country,"1",Afghanistan,AFG,Afghanistan,Afghanistan,Afghanistan,33.85639928,66.08669022
Admin-0 country,"1",Tajikistan,TJK,Tajikistan,Tajikistan,Tajikistan,38.58308146,71.03443505
Admin-0 country,"1",Kyrgyzstan,KGZ,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,41.50689371,74.62040481
Admin-0 country,"1",Turkmenistan,TKM,Turkmenistan,Turkmenistan,Turkmenistan,39.09124018,59.27543026
Admin-0 country,"1",Iran,IRN,Iran,Iran,Iran,32.51891732,54.2854515
Admin-0 country,"1",Syria,SYR,Syria,Syria,Syria,35.01261428,38.54423942
Admin-0 country,"1",Armenia,ARM,Armenia,Armenia,Armenia,40.21660761,45.00029001
Admin-0 country,"1",Sweden,SWE,Sweden,Sweden,Sweden,62.81148497,16.59626585
Admin-0 country,"1",Belarus,BLR,Belarus,Belarus,Belarus,53.50634479,27.98135262
Admin-0 country,"1",Ukraine,UKR,Ukraine,Ukraine,Ukraine,49.14882261,31.22912207
Admin-0 country,"1",Poland,POL,Poland,Poland,Poland,52.14826022,19.31101431
Admin-0 country,"1",Austria,AUT,Austria,Austria,Austria,47.61394879,14.07615888
Admin-0 country,"1",Hungary,HUN,Hungary,Hungary,Hungary,47.19995117,19.35762863
Admin-0 country,"1",Moldova,MDA,Moldova,Moldova,Moldova,47.20367643,28.41048279
Admin-0 country,"1",Romania,ROU,Romania,Romania,Romania,45.85710104,24.94325249
Admin-0 country,"1",Lithuania,LTU,Lithuania,Lithuania,Lithuania,55.28431948,23.88064028
Admin-0 country,"1",Latvia,LVA,Latvia,Latvia,Latvia,56.80717513,24.83329615
Admin-0 country,"1",Estonia,EST,Estonia,Estonia,Estonia,58.64369543,25.82472561
Admin-0 country,"1",Germany,DEU,Germany,Germany,Germany,51.13372269,10.28848509
Admin-0 country,"1",Bulgaria,BGR,Bulgaria,Bulgaria,Bulgaria,42.75311876,25.19511095
Admin-0 country,"1",Greece,GRC,Greece,Greece,Greece,39.0667159,22.71981345
Admin-0 country,"1",Turkey,TUR,Turkey,Turkey,Turkey,39.06837194,35.11690015
Admin-0 country,"1",Albania,ALB,Albania,Albania,Albania,41.14135331,20.03242643
Admin-0 country,"1",Croatia,HRV,Croatia,Croatia,Croatia,45.016234,16.56618977
Admin-0 country,"1",Switzerland,CHE,Switzerland,Switzerland,Switzerland,46.79173768,8.11830061
Admin-0 country,"1",Luxembourg,LUX,Luxembourg,Luxembourg,Luxembourg,49.76570507,5.96522343
Admin-0 country,"1",Belgium,BEL,Belgium,Belgium,Belgium,50.65244096,4.58083411
Admin-0 country,"1",Netherlands,NL1,Netherlands,Netherlands,Netherlands,52.29870037,5.5122171
Admin-0 country,"1",Portugal,PRT,Portugal,Portugal,Portugal,39.63404977,-8.05576559
Admin-0 country,"1",Spain,ESP,Spain,Spain,Spain,40.34865611,-3.6170206
Admin-0 country,"1",Ireland,IRL,Ireland,Ireland,Ireland,53.18059121,-8.01023654
Admin-0 country,"1",France,FR1,New Caledonia,New Caledonia,New Caledonia,-21.26135761,165.5344746
Admin-0 country,"1",Solomon Islands,SLB,Solomon Is.,Solomon Islands,Solomon Islands,-8.85249747,159.96661545
Admin-0 country,"1",New Zealand,NZ1,New Zealand,New Zealand,New Zealand,-41.66257876,172.70192594
Admin-0 country,"1",Australia,AU1,Australia,Australia,Australia,-25.73065478,134.50277548
Admin-0 country,"1",Sri Lanka,LKA,Sri Lanka,Sri Lanka,Sri Lanka,7.70053442,80.66723575
Admin-0 country,"1",China,CH1,China,China,People's Republic of China,36.55506653,103.8836123
Admin-0 country,"1",Taiwan,TWN,Taiwan,Taiwan,Taiwan,23.74096498,120.97480074
Admin-0 country,"1",Italy,ITA,Italy,Italy,Italy,42.75118305,12.14078837
Admin-0 country,"1",Denmark,DN1,Denmark,Denmark,Denmark,56.06393446,9.87637294
Admin-0 country,"1",United Kingdom,GB1,United Kingdom,United Kingdom,United Kingdom,53.91477348,-2.8531354
Admin-0 country,"1",Iceland,ISL,Iceland,Iceland,Iceland,65.07427634,-18.76102877
Admin-0 country,"1",Azerbaijan,AZE,Azerbaijan,Azerbaijan,Azerbaijan,40.22069055,47.55390956
Admin-0 country,"1",Georgia,GEO,Georgia,Georgia,Georgia,42.16201501,43.48154265
Admin-0 country,"1",Philippines,PHL,Philippines,Philippines,Philippines,11.76379936,122.90267237
Admin-0 country,"1",Malaysia,MYS,Malaysia,Malaysia,Malaysia,3.72558843,109.69814845
Admin-0 country,"1",Brunei,BRN,Brunei,Brunei Darussalam,Brunei,4.69025054,114.91510877
Admin-0 country,"1",Slovenia,SVN,Slovenia,Slovenia,Slovenia,46.12542206,14.93815232
Admin-0 country,"1",Finland,FI1,Finland,Finland,Finland,64.50409404,26.21176461
Admin-0 country,"1",Slovakia,SVK,Slovakia,Slovakia,Slovakia,48.72671135,19.50765715
Admin-0 country,"1",Czechia,CZE,Czechia,Czech Republic,Czech Republic,49.77524529,15.3345581
Admin-0 country,"1",Eritrea,ERI,Eritrea,Eritrea,Eritrea,15.42727675,38.67818693
Admin-0 country,"1",Japan,JPN,Japan,Japan,Japan,37.66311081,138.06496213
Admin-0 country,"1",Paraguay,PRY,Paraguay,Paraguay,Paraguay,-23.24804195,-58.38738783
Admin-0 country,"1",Yemen,YEM,Yemen,Yemen,Yemen,15.91323195,47.53504476
Admin-0 country,"1",Saudi Arabia,SAU,Saudi Arabia,Saudi Arabia,Saudi Arabia,24.12328984,44.51636377
Admin-0 country,"1",Antarctica,ATA,Antarctica,Antarctica,Antarctica,-80.49198288,20.57100057
Admin-0 country,"1",Northern Cyprus,CYN,N. Cyprus,Northern Cyprus,Turkish Republic of Northern Cyprus,35.27395768,33.55828596
Admin-0 country,"1",Cyprus,CYP,Cyprus,Cyprus,Cyprus,34.90706085,33.0395538
Admin-0 country,"1",Morocco,MAR,Morocco,Morocco,Morocco,29.8853947,-8.42047954
Admin-0 country,"1",Egypt,EGY,Egypt,Egypt,Egypt,26.50662,29.84446151
Admin-0 country,"1",Libya,LBY,Libya,Libya,Libya,26.99746041,17.97435278
Admin-0 country,"1",Ethiopia,ETH,Ethiopia,Ethiopia,Ethiopia,8.65399919,39.55125579
Admin-0 country,"1",Djibouti,DJI,Djibouti,Djibouti,Djibouti,11.7730444,42.49801974
Admin-0 country,"1",Somaliland,SOL,Somaliland,Somaliland,Somaliland,9.75797181,46.23074953
Admin-0 country,"1",Uganda,UGA,Uganda,Uganda,Uganda,1.2954855,32.35755032
Admin-0 country,"1",Rwanda,RWA,Rwanda,Rwanda,Rwanda,-2.01351447,29.91896392
Admin-0 country,"1",Bosnia and Herzegovina,BIH,Bosnia and Herz.,Bosnia and Herzegovina,Bosnia and Herzegovina,44.18076776,17.81688327
Admin-0 country,"1",North Macedonia,MKD,North Macedonia,North Macedonia,North Macedonia,41.60592965,21.69790338
Admin-0 country,"1",Republic of Serbia,SRB,Serbia,Serbia,Serbia,44.23303653,20.81965193
Admin-0 country,"1",Montenegro,MNE,Montenegro,Montenegro,Montenegro,42.78903961,19.28618172
Admin-0 country,"1",Kosovo,KOS,Kosovo,Kosovo,Kosovo,42.57936713,20.89535572
Admin-0 country,"1",Trinidad and Tobago,TTO,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,10.42823709,-61.33036691
Admin-0 country,"1",South Sudan,SDS,S. Sudan,South Sudan,South Sudan,7.29289013,30.19861758
